RUNTIME   CONSUMER                          DISTRIBUTION            SPEC           PROVIDER  RDEP  BUILT VER  STATUS
CLI       symoneural-mcp-python-sdk         typing-extensions       >=4.13.0       SYMONEURA y     y     ok   PASS
CLI       symoneural-mcp-python-sdk         typing-inspection       >=0.4.1        SYMONEURA y     y     ok   PASS
CLI       symoneural-mcp-python-sdk         uvicorn                 >=0.31.1       SYMONEURA y     y     ok   PASS
CLI       symoneural-mcp-types              pydantic                >=2.12.0       SYMONEURA y     y     ok   PASS
CLI       symoneural-mcp-types              typing-extensions       >=4.13.0       SYMONEURA y     y     ok   PASS
CLI       symoneural-opentelemetry-api      typing-extensions       >=4.5.0        SYMONEURA y     y     ok   PASS
CLI       symoneural-pydantic               annotated-types         >=0.6.0        SYMONEURA y     y     ok   PASS
CLI       symoneural-pydantic               pydantic-core           ==2.46.5       SYMONEURA y     y     ok   PASS
CLI       symoneural-pydantic               typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
CLI       symoneural-pydantic               typing-inspection       >=0.4.2        SYMONEURA y     y     ok   PASS
CLI       symoneural-pydantic-core          typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
CLI       symoneural-pyjwt                  cryptography            >=3.4.0        SYMONEURA y     y     ok   PASS
CLI       symoneural-referencing            attrs                   >=22.2.0       SYMONEURA y     y     ok   PASS
CLI       symoneural-referencing            rpds-py                 >=0.7.0        SYMONEURA y     y     ok   PASS
CLI       symoneural-sse-starlette          starlette               >=0.49.1       SYMONEURA y     y     ok   PASS
CLI       symoneural-sse-starlette          anyio                   >=4.7.0        SYMONEURA y     y     ok   PASS
CLI       symoneural-starlette              anyio                   <5,>=3.6.2     SYMONEURA y     y     ok   PASS
CLI       symoneural-uvicorn                click                   >=7.0          SYMONEURA y     y     ok   PASS
CLI       symoneural-uvicorn                h11                     >=0.8          SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             numpy                   >=1.17         SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             packaging               >=20.0         SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             psutil                  any            SYMONEURA y     y     ?    PASS
Common    symoneural-accelerate             pyyaml                  any            SYMONEURA y     y     ?    PASS
Common    symoneural-accelerate             torch                   >=2.0.0        SYMONEURA y     -     ok   MISSING PACKAGE
Common    symoneural-accelerate             huggingface-hub         >=0.21.0       SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             safetensors             >=0.4.3        SYMONEURA y     y     ok   PASS
Common    symoneural-anyio                  idna                    >=2.8          SYMONEURA y     y     ok   PASS
Common    symoneural-anyio                  typing-extensions       >=4.16.0       SYMONEURA y     y     ok   PASS
Common    symoneural-api-python             fastapi                 >=0.115        SYMONEURA y     y     ok   PASS
Common    symoneural-api-python             pydantic                >=2.11         SYMONEURA y     y     ok   PASS
Common    symoneural-api-python             uvicorn                 >=0.30         SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                starlette               >=0.46.0       SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                pydantic                >=2.9.0        SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                typing-extensions       >=4.8.0        SYMONEURA y     y     ok   PASS
